ESTILO,A-PREIMINAR,CORTADOR PIEL,DOBLILLADOR,PESPUNTADOR,PRELIMINAR,REBAJADOR,LINEA
10554,0,0,0,126,492,0,2
10703,0,0,32,188,514,0,2
11002,0,0,77,147,513,0,2
11123,0,0,0,126,492,0,2
11933,0,0,0,198,506,0,2
12161,0,0,107,143,604,0,2
13276,0,0,124,202,572,0,2
13279,0,0,53,130,562,0,2
13583,0,0,113,166,638,0,2
13584,0,0,72,90,523,0,2
13627,0,0,72,171,528,0,2
13907,0,0,30,216,604,0,2
13910,0,0,32,172,586,0,2
14863,0,0,29,160,572,0,2
18302,0,0,30,174,548,0,2
18314,0,0,0,180,484,0,2
18411,0,0,63,144,523,0,2
2461,0,0,79,245,588,0,2
30022,0,0,0,136,641,0,2
35082,0,0,0,293,491,0,2
50131,0,0,30,174,540,0,2
50132,0,0,0,188,591,0,2
50135,0,0,53,174,540,0,2
6686,0,0,96,152,486,0,2
75169,0,0,45,72,536,0,2
90084,0,0,72,189,608,0,2
90747,0,0,114,164,631,0,2
95082,0,0,104,169,495,0,2
95156,0,0,30,171,530,0,2
95161,0,0,72,91,554,0,2
10697,0,0,86,578,1868,0,7
11979,0,0,164,253,1846,0,7
20081,0,0,0,882,1621,0,7
8044,0,0,81,542,2122,0,7
8055,0,0,105,993,2372,0,7
8060,0,0,0,458,1798,0,7
95256,0,0,215,822,1964,0,7
95422,0,0,0,707,1678,0,7
10301,0,0,56,309,933,0,5
10302,0,0,60,175,889,0,5
10551,0,0,162,295,975,0,5
10553,0,0,0,235,1026,0,5
10555,0,0,96,207,874,0,5
10698,0,0,30,229,922,0,5
10699,0,0,90,202,854,0,5
10705,0,0,62,164,947,0,5
10708,0,0,45,225,826,0,5
11119,0,0,119,200,989,0,5
11122,0,0,32,307,976,0,5
11126,0,0,54,241,944,0,5
11662,0,0,66,185,839,0,5
11973,0,0,90,105,857,0,5
11978,0,0,72,245,838,0,5
11981,0,0,60,181,904,0,5
12844,0,0,34,133,863,0,5
13629,0,0,60,127,862,0,5
13906,0,0,54,197,862,0,5
1603,0,0,44,150,991,0,5
1645,0,0,32,193,844,0,5
17011,0,0,0,242,867,0,5
18300,0,0,107,215,933,0,5
18301,0,0,97,193,829,0,5
