Estilo,Planta,Departamento,Puesto,Unidad,Status,Tiempos
ANCA,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,9.51000005
ANCA,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,0.709999979
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,0.389999986
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,1.429999948
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,0.310000002
ANCA,SANTA RITA,CASCOS,PRELIMINAR DE CASCOS,2,DESARROLLO,1.24
ANCA,SANTA RITA,CORTE,CORTADOR DE FORROS,2,DESARROLLO,0.360000014
ANCA,SANTA RITA,CORTE,CORTADOR DE FORROS,2,DESARROLLO,0.471699998
ANCA,SANTA RITA,CORTE,CORTADOR DE PIEL,2,DESARROLLO,4.327100018
ANCA,SANTA RITA,CORTE,PRELIMINAR DE CORTE,2,DESARROLLO,0.635700023
ANCA,SANTA RITA,DOBLILLADO,DOBLILLADOR,2,DESARROLLO,8.91
ANCA,SANTA RITA,DOBLILLADO,PRELIMINAR DE DOBLILLADO,2,DESARROLLO,0.859999995
ANCA,SANTA RITA,LASER,OPERADOR LASER,2,DESARROLLO,2.690000021
ANCA,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,2.249999993
ANCA,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,2.86
ANCA,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,6.140000075
ANCA,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,1.290000021
ANCA,SANTA RITA,MONTADO,CENTRADOR A MAQUINA,2,DESARROLLO,0.899999976
ANCA,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.600000024
ANCA,SANTA RITA,MONTADO,EMBARRADOR ,2,DESARROLLO,1.339999974
ANCA,SANTA RITA,MONTADO,ENSUELADOR,2,DESARROLLO,0.860000014
ANCA,SANTA RITA,MONTADO,MONTADOR ,2,DESARROLLO,1.429999948
ANCA,SANTA RITA,MONTADO,MONTADOR ,2,DESARROLLO,0.689999998
ANCA,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,4.700000021
ANCA,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.75
ANCA,SANTA RITA,OPERACIONES ESPECIALES,PESPUNTADOR ,2,DESARROLLO,3.43
ANCA,SANTA RITA,PESPUNTE,PESPUNTADOR ,2,DESARROLLO,5.760000002
ANCA,SANTA RITA,PESPUNTE,PESPUNTADOR ,2,DESARROLLO,1.679999998
ANCA,SANTA RITA,OPERACIONES ESPECIALES,PESPUNTADOR ,2,DESARROLLO,2.250999982
ANCA,SANTA RITA,PESPUNTE,PRELIMINAR DE PESPUNTE,2,DESARROLLO,8.250000037
ANCA,SANTA RITA,PESPUNTE,PRELIMINAR DE PESPUNTE,2,DESARROLLO,9.099999988
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.310000002
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.25
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,3.079999946
ANCA,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.189999998
ANCA,SANTA RITA,REBAJADO,PRELIMINAR DE REBAJADO,2,DESARROLLO,4.844299918
ANCA,SANTA RITA,REBAJADO,REBAJADOR,2,DESARROLLO,0.342000008
ANCA,SANTA RITA,REBAJADO,REBAJADOR,2,DESARROLLO,1.8247
ANCAR,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,9.51000005
ANCAR,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,0.709999979
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,0.389999986
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,1.429999948
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,0.310000002
ANCAR,SANTA RITA,CASCOS,PRELIMINAR DE CASCOS,2,DESARROLLO,1.24
ANCAR,SANTA RITA,CORTE,CORTADOR DE FORROS,2,DESARROLLO,0.360000014
ANCAR,SANTA RITA,CORTE,CORTADOR DE FORROS,2,DESARROLLO,0.471699998
ANCAR,SANTA RITA,CORTE,CORTADOR DE PIEL,2,DESARROLLO,4.327100018
ANCAR,SANTA RITA,CORTE,PRELIMINAR DE CORTE,2,DESARROLLO,0.635700023
ANCAR,SANTA RITA,DOBLILLADO,DOBLILLADOR,2,DESARROLLO,8.91
ANCAR,SANTA RITA,DOBLILLADO,PRELIMINAR DE DOBLILLADO,2,DESARROLLO,0.86
ANCAR,SANTA RITA,LASER,OPERADOR LASER,2,DESARROLLO,0.27
ANCAR,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,1.289999992
ANCAR,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,7.84
ANCAR,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,1.700000003
ANCAR,SANTA RITA,MAQUILA ORISOL,PRELIMINAR DE PESPUNTE,2,DESARROLLO,1.940000057
ANCAR,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,1.290000021
ANCAR,SANTA RITA,MONTADO,CENTRADOR A MAQUINA,2,DESARROLLO,0.899999976
ANCAR,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.600000024
ANCAR,SANTA RITA,MONTADO,EMBARRADOR ,2,DESARROLLO,1.339999974
ANCAR,SANTA RITA,MONTADO,ENSUELADOR,2,DESARROLLO,0.860000014
ANCAR,SANTA RITA,MONTADO,MONTADOR ,2,DESARROLLO,1.429999948
ANCAR,SANTA RITA,MONTADO,MONTADOR ,2,DESARROLLO,0.689999998
ANCAR,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,4.700000021
ANCAR,SANTA RITA,MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.75
ANCAR,SANTA RITA,OPERACIONES ESPECIALES,PESPUNTADOR ,2,DESARROLLO,3.430000067
ANCAR,SANTA RITA,PESPUNTE,PESPUNTADOR ,2,DESARROLLO,7.130000007
ANCAR,SANTA RITA,PESPUNTE,PESPUNTADOR ,2,DESARROLLO,1.679999998
ANCAR,SANTA RITA,OPERACIONES ESPECIALES,PESPUNTADOR ,2,DESARROLLO,2.850999988
ANCAR,SANTA RITA,PESPUNTE,PRELIMINAR DE PESPUNTE,2,DESARROLLO,8.250000037
ANCAR,SANTA RITA,PESPUNTE,PRELIMINAR DE PESPUNTE,2,DESARROLLO,9.669999981
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.310000002
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.25
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,3.079999946
ANCAR,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE MONTADO,2,DESARROLLO,0.189999998
ANCAR,SANTA RITA,REBAJADO,PRELIMINAR DE REBAJADO,2,DESARROLLO,2.744300013
ANCAR,SANTA RITA,REBAJADO,REBAJADOR,2,DESARROLLO,0.342000008
ANCAR,SANTA RITA,REBAJADO,REBAJADOR,2,DESARROLLO,1.8247
CALCETOSO,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,9.51000005
CALCETOSO,SANTA RITA,ADORNO,PRELIMINAR DE ADORNO,2,DESARROLLO,0.709999979
CALCETOSO,SANTA RITA,PREPARADO DE MONTADO,PRELIMINAR DE AVIOS,2,DESARROLLO,0.389999986
